"id" "length" "temp" "num.tech"
"1" 1 1079.24722166508 20 "A"
"2" 2 1147.76119229406 20 "A"
"3" 3 1158.80244209944 20 "A"
"4" 4 1177.95916007692 20 "A"
"5" 5 1147.42887340405 20 "A"
"6" 6 1151.00997945894 20 "A"
"7" 7 1184.49855366853 20 "A"
"8" 8 1158.07531701916 20 "A"
"9" 9 982.925560178461 20 "A"
"10" 10 1086.1948658021 20 "A"
"11" 11 1169.40092483482 20 "A"
"12" 12 1197.24761037898 20 "A"
"13" 13 1152.66411888308 20 "A"
"14" 14 1198.86746199226 20 "A"
"15" 15 1179.49344691703 20 "A"
"16" 16 1176.93129831382 20 "A"
"17" 17 1135.20768714442 20 "A"
"18" 18 1191.83731750656 20 "A"
"19" 19 1167.97834470258 20 "A"
"20" 20 1191.16808021892 20 "A"
"21" 21 1203.15871047665 20 "A"
"22" 22 1005.15015915924 20 "A"
"23" 23 1194.80195771824 20 "A"
"24" 24 1152.75613421116 20 "A"
"25" 25 1198.17568103271 20 "A"
"26" 26 1074.81597775118 20 "A"
"27" 27 1204.30037311762 20 "A"
"28" 28 1178.77082005777 20 "A"
"29" 29 1131.68300052551 20 "A"
"30" 30 1155.46477714877 20 "A"
"31" 31 1188.45016555672 20 "A"
"32" 32 1123.57884095978 20 "A"
"33" 33 1177.61834238 20 "A"
"34" 34 1205.94408625594 20 "A"
"35" 35 1019.78080413451 20 "A"
"36" 36 1175.18473338558 20 "A"
"37" 37 1197.95466499502 20 "A"
"38" 38 1170.92097151935 20 "A"
"39" 39 1252.11971787204 20 "A"
"40" 40 1163.16985869307 20 "A"
"41" 41 1152.97811156224 20 "A"
"42" 42 1148.5421393065 20 "A"
"43" 43 1033.80755558578 20 "A"
"44" 44 1035.62807890088 20 "A"
"45" 45 1098.40752103464 20 "A"
"46" 46 1142.62343639859 20 "A"
"47" 47 1180.61659288389 20 "A"
"48" 48 1217.25061018984 20 "A"
"49" 49 1212.49435454471 20 "A"
"50" 50 1154.391353867 20 "A"
"51" 51 1129.43981142586 20 "A"
